Name,Position,Team,StdPts,LowerCI,UpperCI,Ovr,Pos Rank,Cmp,PassAtt,PassYd,PassTD,Ints,RushAtt,RushYd,RushTD,Rec,RecYd,RecTD
B. Hoyer,QB,SF,187.79,164.69,210.89,#40,#30,316.34,523.62,3480.19,21.18,17.01,27.65,34.14,0.27,0,0,0
J. Jones,WR,ATL,183.49,155.08,211.9,#41,#2,0,0,0,0,0,0,0,0,80.51,1227.79,10.08
J. Cutler,QB,MIA,182.23,155.95,208.51,#42,#31,273.34,474.5,3127.96,20.27,11.54,26.19,51.02,0.48,0,0,0
D. Murray,RB,TEN,181.88,154.85,208.91,#43,#10,0.18,0.36,1.51,0.18,0,231.96,996.86,7.79,39.04,281.32,1.54
R. Gronkowski,TE,NE,176.46,138.44,214.48,#44,#1,0,0,0,0,0,0,0,0,70.54,1105.19,11.1
A. Brown,WR,PIT,174.08,147.84,200.32,#45,#3,0.06,0.06,1.02,0,0,1.75,6.34,0,95.35,1230.27,8.59
T. Gurley,RB,LA,174.06,148.55,199.57,#46,#11,0.14,0.4,2,0.15,0.02,286.82,1078.43,5.82,48.98,325.27,0.74
J. McCown,QB,NYJ,173.64,147.88,199.4,#47,#32,280.31,504.56,3063.84,17.78,17.51,37.07,123.44,1.68,0.15,2.06,0
L. Fournette,RB,JAC,169.79,144.32,195.26,#48,#12,0,0.35,0,0,0.1,224.19,951.65,5.48,43.45,354.05,1.59
D. Cook,RB,MIN,166.32,137.5,195.14,#49,#13,0.33,0.33,5.32,0.18,0,235.65,964.33,4.51,52.33,370.39,1.44
J. Nelson,WR,GB,163.5,139.3,187.7,#50,#4,0.09,0.14,4.5,0.09,0.05,0,0,0,81.05,1094.83,8.95
O. Beckham,WR,NYG,159.43,133.02,185.84,#51,#5,0,0.08,0,0,0,1.03,4.93,0,95.03,1126.6,8
C. Hyde,RB,SF,159.12,133.89,184.35,#52,#14,0,0,0,0,0,260.07,1048.16,6.11,34.24,186.83,0.58
I. Crowell,RB,CLE,157.28,131.21,183.35,#53,#15,0.06,0.23,0.63,0.07,0.04,202.19,862.44,5.21,43.69,337.29,1.29
L. Miller,RB,HOU,155.86,134.86,176.86,#54,#16,0,0.28,0,0,0.1,233.74,903.04,6.37,34.71,269.6,0.54
C. McCaffrey,RB,CAR,153.65,127.48,179.82,#55,#17,0.12,0.37,3.64,0.14,0.18,195.98,880,3.92,41.24,348.84,1.48
T. Hilton,WR,IND,152.2,131.13,173.27,#56,#6,0,0,0,0,0,0.04,0.34,0,75.03,1082.06,7.25
M. Ingram,RB,NO,152.14,128.3,175.98,#57,#18,0,0,0,0,0,142.42,695.88,5.6,39.69,371.87,2.07
M. Gillislee,RB,NE,149.65,120.54,178.76,#58,#19,0,0.02,0,0,0.02,152.74,723.54,8.24,29.46,212.38,1.57
A. Green,WR,CIN,148.52,121.83,175.21,#59,#7,0,0,0,0,0,0,0,0,82.02,1101.39,6.55
J. Howard,RB,CHI,148.05,129.92,166.18,#60,#20,0,0,0,0,0,192.02,827.01,4.29,41.82,344.81,1.19
M. Lynch,RB,OAK,147.95,119.81,176.09,#61,#21,0.2,0.45,4.17,0.17,0,193.21,798.48,4.66,39.84,301.47,1.86
A. Cooper,WR,OAK,147.9,120.55,175.25,#62,#8,0,0.02,0,0,0.02,0.86,5.13,0,75.28,1021.89,7.56
M. Thomas,WR,NO,147.58,124.45,170.71,#63,#9,0,0.22,0,0,0.22,0,0,0,80.77,1000.05,8.19
